date,cases_new,cases_active,cases_recovered,cases_import,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_adult
2020-01-25,4,4,0,4,4,0,0,0,1
2020-01-26,0,4,0,0,0,0,0,0,0
2020-01-27,0,4,0,0,0,0,0,0,0
2020-01-28,0,4,0,0,0,0,0,0,0
2020-01-29,3,7,0,3,3,0,0,0,2
2020-01-30,1,8,0,1,1,0,0,0,1
2020-01-31,0,8,0,0,0,0,0,0,0
2020-02-01,0,8,0,0,0,0,0,0,0
2020-02-02,0,8,0,0,0,0,0,0,0
2020-02-03,0,8,0,0,0,0,0,0,0
2020-02-04,2,10,0,2,2,0,0,0,1
2020-02-05,2,11,1,2,2,0,0,0,1
2020-02-06,2,13,0,1,2,0,0,0,2
2020-02-07,1,14,0,1,1,0,0,0,1
2020-02-08,1,14,1,1,1,0,0,0,0
2020-02-09,1,14,1,0,1,0,0,0,0
2020-02-10,1,15,0,1,1,0,0,0,1
2020-02-11,0,15,0,0,0,0,0,0,0
2020-02-12,0,15,0,0,0,0,0,0,0
2020-02-13,0,15,0,0,0,0,0,0,0
2020-02-14,1,12,4,1,1,0,0,0,1
2020-02-15,3,14,1,3,3,0,0,0,2
2020-02-16,0,14,0,0,0,0,0,0,0
2020-02-17,0,11,3,0,0,0,0,0,0
2020-02-18,0,9,2,0,0,0,0,0,0
2020-02-19,0,5,4,0,0,0,0,0,0
2020-02-20,0,5,0,0,0,0,0,0,0
2020-02-21,0,5,0,0,0,0,0,0,0
2020-02-22,0,4,1,0,0,0,0,0,0
2020-02-23,0,4,0,0,0,0,0,0,0
2020-02-24,0,2,2,0,0,0,0,0,0
2020-02-25,0,2,0,0,0,0,0,0,0
2020-02-26,0,2,0,0,0,0,0,0,0
2020-02-27,1,1,2,1,1,0,0,0,1
2020-02-28,2,3,0,2,2,0,0,0,2
2020-02-29,0,3,0,0,0,0,0,0,0
2020-03-01,4,7,0,1,4,0,0,0,4
2020-03-02,0,7,0,0,0,0,0,0,0
2020-03-03,7,14,0,1,7,0,0,0,7
2020-03-04,14,27,1,0,14,0,0,0,10
2020-03-05,5,32,0,0,5,0,0,0,3
2020-03-06,28,60,0,1,28,0,0,0,23
2020-03-07,10,69,1,2,10,0,0,0,7
2020-03-08,6,74,1,0,6,0,0,0,5
2020-03-09,18,91,1,2,18,0,0,0,12
2020-03-10,12,103,0,0,12,0,0,0,11
2020-03-11,20,122,1,3,20,0,0,0,10
2020-03-12,9,125,6,1,9,0,0,0,6
2020-03-13,39,164,0,1,39,0,0,0,31
2020-03-14,41,201,4,1,41,0,0,0,34
2020-03-15,190,386,5,2,190,0,0,0,128
2020-03-16,125,511,0,6,125,0,0,0,85
2020-03-17,120,622,7,3,120,0,0,0,91
2020-03-18,117,728,11,8,117,0,0,0,78
2020-03-19,110,823,15,5,110,0,0,0,77
2020-03-20,130,940,12,6,130,0,0,0,96
2020-03-21,153,1062,27,11,153,0,0,0,106
2020-03-22,123,1156,25,21,123,0,0,0,95
2020-03-23,212,1343,20,29,212,0,0,0,155
2020-03-24,106,1423,24,19,106,0,0,0,71
2020-03-25,172,1576,16,35,172,0,0,0,114
2020-03-26,235,1790,16,27,235,0,0,0,168
2020-03-27,130,1874,44,19,130,0,0,0,95
2020-03-28,159,1966,61,22,159,0,0,0,113
2020-03-29,150,2043,68,17,150,0,0,0,109
2020-03-30,156,2105,90,16,156,0,0,0,117
2020-03-31,140,2182,58,17,140,0,0,0,100
2020-04-01,142,2214,108,15,142,0,0,0,103
2020-04-02,208,2298,122,36,208,0,0,0,142
2020-04-03,217,2450,60,21,217,0,0,0,164
2020-04-04,150,2509,88,17,150,0,0,0,111
2020-04-05,179,2596,90,21,179,0,0,0,114
2020-04-06,131,2489,236,19,131,0,0,0,77
2020-04-07,170,2578,80,19,170,0,0,0,112
2020-04-08,156,2567,166,20,156,0,0,0,101
2020-04-09,109,2553,121,20,109,0,0,0,84
2020-04-10,118,2446,222,20,118,0,0,0,84
2020-04-11,184,2462,165,10,184,0,0,0,116
2020-04-12,153,2497,113,14,153,0,0,0,84
2020-04-13,134,2462,168,8,134,0,0,0,99
2020-04-14,170,2427,202,12,170,0,0,0,124
2020-04-15,85,2341,169,4,85,0,0,0,55
2020-04-16,110,2330,119,3,110,0,0,0,62
2020-04-17,69,2197,201,6,69,0,0,0,44
2020-04-18,54,2116,135,6,54,0,0,0,37
2020-04-19,84,2104,95,48,84,0,0,0,66
2020-04-20,36,2041,98,13,36,0,0,0,26
2020-04-21,57,2042,54,18,57,0,0,0,43
2020-04-22,50,1987,103,5,50,0,0,0,33
2020-04-23,71,1967,90,20,71,0,0,0,39
2020-04-24,88,1933,121,15,88,0,0,0,38
2020-04-25,51,1883,99,4,51,0,0,0,19
2020-04-26,38,1821,100,5,38,0,0,0,22
2020-04-27,40,1765,95,5,40,0,0,0,18
2020-04-28,31,1720,75,10,31,0,0,0,17
2020-04-29,94,1758,55,72,94,0,0,0,84
2020-04-30,57,1729,84,26,57,0,0,0,44
2020-05-01,69,1759,39,12,69,0,0,0,35
2020-05-02,105,1747,116,11,105,0,0,0,87
2020-05-03,122,1781,87,52,122,0,0,0,89
2020-05-04,55,1765,71,7,55,0,0,0,42
2020-05-05,30,1710,83,1,30,0,0,0,23
2020-05-06,45,1620,135,1,45,0,0,0,33
2020-05-07,39,1584,74,1,39,0,0,0,25
2020-05-08,68,1564,88,4,68,0,0,0,65
2020-05-09,54,1552,65,1,54,0,0,0,47
2020-05-10,67,1522,96,0,67,0,0,0,58
2020-05-11,70,1504,88,13,70,0,0,0,56
2020-05-12,16,1409,110,3,16,0,0,0,8
2020-05-13,37,1386,58,4,37,0,0,0,32
2020-05-14,40,1356,70,0,40,0,0,0,23
2020-05-15,36,1304,88,1,36,0,0,0,20
2020-05-16,17,1248,73,6,17,0,0,0,14
2020-05-17,22,1211,59,5,22,0,0,0,17
2020-05-18,47,1213,44,21,47,0,0,0,36
2020-05-19,37,1219,31,2,37,0,0,0,22
2020-05-20,31,1190,60,10,31,0,0,0,24
2020-05-21,50,1149,90,3,50,0,0,0,12
2020-05-22,78,1164,63,26,78,0,0,0,39
2020-05-23,48,1159,53,4,48,0,0,0,41
2020-05-24,60,1186,33,7,60,0,0,0,51
2020-05-25,172,1324,34,5,172,0,0,0,89
2020-05-26,187,1449,62,10,187,0,0,0,107
2020-05-27,15,1422,42,6,15,0,0,0,12
2020-05-28,10,1346,86,0,10,0,0,0,5
2020-05-29,103,1383,66,7,103,0,0,0,71
2020-05-30,30,1318,95,3,30,0,0,0,11
2020-05-31,57,1352,23,10,57,0,0,0,48
2020-06-01,38,1339,51,26,38,0,0,0,31
2020-06-02,20,1293,66,15,20,0,0,0,19
2020-06-03,93,1325,61,0,93,0,0,0,57
2020-06-04,277,1573,28,2,277,0,0,0,255
2020-06-05,19,1540,51,7,19,0,0,0,11
2020-06-06,37,1552,25,8,37,0,0,0,23
2020-06-07,19,1532,39,6,19,0,0,0,13
2020-06-08,7,1519,20,2,7,0,0,0,6
2020-06-09,7,1245,281,6,7,0,0,0,6
2020-06-10,2,1207,39,1,2,0,0,0,2
2020-06-11,31,1186,51,11,31,0,0,0,28
2020-06-12,33,1114,103,16,33,0,0,0,23
2020-06-13,43,1014,143,5,43,0,0,0,21
2020-06-14,8,987,35,2,8,0,0,0,3
2020-06-15,41,974,54,3,41,0,0,0,27
2020-06-16,11,652,333,1,11,0,0,0,9
2020-06-17,10,522,140,0,10,0,0,0,4
2020-06-18,14,409,127,3,14,0,0,0,13
2020-06-19,6,345,70,2,6,0,0,0,4
2020-06-20,21,290,76,2,21,0,0,0,4
2020-06-21,16,296,10,3,16,0,0,0,14
2020-06-22,15,290,21,2,15,0,0,0,15
2020-06-23,3,284,9,0,3,0,0,0,2
2020-06-24,6,245,45,2,6,0,0,0,5
2020-06-25,4,209,40,3,4,0,0,0,3
2020-06-26,6,192,23,5,6,0,0,0,4
2020-06-27,10,188,14,4,10,0,0,0,7
2020-06-28,18,196,10,4,18,0,0,0,17
2020-06-29,3,183,16,1,3,0,0,0,2
2020-06-30,2,165,20,1,2,0,0,0,2
2020-07-01,1,145,21,1,1,0,0,0,1
2020-07-02,3,86,62,1,3,0,0,0,3
2020-07-03,5,82,9,3,5,0,0,0,4
2020-07-04,10,77,15,7,10,0,0,0,6
2020-07-05,5,78,4,3,5,0,0,0,3
2020-07-06,5,72,11,3,5,0,0,0,5
2020-07-07,6,73,5,4,6,0,0,0,6
2020-07-08,3,71,5,3,3,0,0,0,3
2020-07-09,6,64,13,6,6,0,0,0,4
2020-07-10,13,64,12,8,13,0,0,0,9
2020-07-11,8,68,4,4,8,0,0,0,6
2020-07-12,14,78,4,3,14,0,0,0,12
2020-07-13,7,84,1,6,7,0,0,0,6
